maxmin,default
52.46944,65.7
52.81122,64.62
53.4658,64.44
53.81632,64.152
54.48516,63.504
54.92078,61.308
54.14338,59.688
53.60242,58.752
54.20548,57.924
54.56934,58.896
53.2266,56.052
54.5514,57.96
56.21108,57.24
57.2309,55.548
57.65134,52.884
57.82016,51.048
58.08834,49.788
58.4062,47.844
57.95816,46.44
56.50226,44.856
53.19348,44.064
51.93492,44.892
50.70534,45.108
52.18608,46.188
48.944,47.16
50.2159,47.376
52.40182,47.736
54.05736,47.736
55.1425,48.492
55.44886,48.132
52.59134,48.276
52.98142,48.096
52.69208,46.908
52.84848,46.08
53.83426,44.82
55.16182,44.532
56.08918,43.812
57.21158,44.496
58.45174,45.288
59.8598,46.728
61.12618,48.708
61.45324,49.212
60.45458,50.148
59.12058,51.912
57.17294,53.064
53.43636,53.712
51.74034,54.216
50.90176,54
49.71726,54.072
48.44766,54.18
47.90302,54.54
48.20386,54
47.36114,54.72
47.40024,54.252
46.60812,53.172
47.13804,52.632
47.86668,52.956
48.02032,53.172
47.67394,54.252
48.35198,54.216
48.2609,54.9
45.26906,55.584
42.48698,55.08
36.0824,53.748
36.66752,51.84
35.1394,50.688
36.19924,48.492
37.08198,45.216
37.34372,44.712
39.62302,45.108
42.60382,44.568
45.47146,43.524
44.7373,44.532
43.66918,44.46
43.0491,44.568
43.4401,46.26
42.71514,47.664
42.8582,50.472
43.5321,51.948
44.33986,53.82
45.05654,52.236
46.32292,52.668
47.87726,54.288
48.8428,55.296
49.04152,57.096
50.35942,57.888
50.61748,59.148
50.89302,60.372
50.79458,60.84
52.3181,61.056
54.65582,60.516
57.04046,59.004
58.9053,58.32
59.99412,57.96
55.43736,58.284
56.60346,58.212
56.83254,57.6
55.73636,57.78
55.13514,57.636
53.41612,56.808
50.17864,56.52
50.58712,57.492
51.11612,57.78
51.68054,58.392
52.14422,58.896
50.24166,59.148
50.33182,58.032
50.7955,55.872
49.5075,55.116
49.86216,53.784
49.86216,53.352
51.9662,56.376
53.2082,56.628
53.50674,56.592
53.4773,56.484
52.67276,53.64
51.80704,53.064
51.42616,53.64
50.36632,54.756
50.45418,50.544
51.98736,50.796
52.8839,49.788
52.84158,49.752
55.22622,49.068
57.47746,48.24
59.70892,48.024
61.79916,48.492
63.95012,50.04
65.96952,51.804
67.30122,51.948
67.44336,52.632
66.84628,53.244
63.56878,54
62.96434,53.568
62.51768,53.208
59.87314,52.704
57.97058,52.632
54.53668,52.668
53.88118,52.38
53.96628,51.408
54.7147,50.256
54.89272,51.444
55.55512,51.66
56.21246,50.688
55.79432,49.752
55.20874,49.068
56.44246,45.36
58.03222,45.288
59.8207,43.344
61.36814,42.192
62.57012,40.284
63.10004,39.852
63.62536,41.688
63.95656,43.704
64.47636,45.468
64.80756,46.692
62.27204,47.34
61.47716,48.888
59.08424,49.068
58.77604,47.628
57.36798,48.204
54.73586,48.672
54.19168,49.392
53.9557,51.12
53.54998,52.056
51.96804,52.884
52.03428,53.28
52.06694,52.992
51.704,52.164
51.77024,53.388
52.7183,55.08
52.62262,56.952
51.08024,58.644
48.14176,59.58
45.89512,59.724
44.4337,59.184
44.5694,58.5
45.43052,57.708
47.54146,58.104
47.73926,59.004
47.50282,59.904
48.75356,61.416
50.09124,60.264
51.27574,59.76
52.95428,57.6
56.71754,56.016
58.43978,49.896
59.71996,49.824
61.1708,50.076
60.8258,50.472
60.83684,50.688
60.77152,51.408
61.4514,51.768
62.37048,52.596
63.60926,53.496
63.97174,54.432
64.5978,56.268
65.1889,58.68
65.17188,59.58
65.57116,60.12
66.38674,60.012
67.00498,60.444
64.73396,61.308
64.73396,61.992
65.1866,60.516
64.68704,61.128
64.00394,61.452
62.82496,62.244
62.2288,63
62.32402,63.612
61.72786,61.668
60.904,61.992
60.97852,61.092
60.90722,60.156
61.0972,58.392
60.46608,55.584
60.00516,53.676
